# In Stock,# En stock
# Req'd Items,#  rticles Requis
%  Delivered,% Livré
%  mount Billed,% Montant Facturé
% Billed,% Facturé
% Complete,%  chevée
% Complete Method,% Méthode Complète
% Completed,% Complété
% Delivered,% Livré
% Finished Item Quantity,% de l' rticle fabriqué
% Installed,% Installé
% Occupied,% d'occupation
% Of Grand Total,% Du grand total
% Ordered,% Commandé
% Picked,% choisi
% Process Loss,% de perte de processus
% Progress,% de Progression
% Received,% Reçu
% Returned,% retourné
% Utilization (B + NB) / T,% Utilisation (B + NB) / T
% of materials billed against this Sales Order,% de matériaux facturés pour cette Commande Client
% of materials delivered against this Delivery Note,% de matériaux livrés pour ce Bon de Livraison
% of materials delivered against this Pick List,% d'articles livrés par rapport à cette liste de sélection
% of materials delivered against this Sales Order,% de matériaux livrés pour cette Commande Client
Invalid attribute {0} {1},ttribut invalide {0} {1}
Invalid condition expression,Expression de condition non valide
Invalid credentials,les informations d'identification invalides
"Invalid lost reason {0}"",""please create a new lost reason","Motif perdu non valide {0}, veuillez créer un nouveau motif perdu"
Invalid naming series (. missing) for {0},Masque de numérotation non valide (. Manquante) pour {0}
Invalid quantity specified for item {0}. Quantity should be greater than 0.,Quantité spécifiée invalide pour l'élément {0}. Quantité doit être supérieur à 0.
Invalid reference {0} {1},Référence invalide {0} {1}
Invalid result key. Response:,Clé de résultat invalide. Réponse :
Invalid value {0} for {1} against account {2},Valeur invalide {0} pour {1} contre le compte {2}
Invalid {0},Invalide {0}
Invalid {0} for Inter Company Transaction.,{0} non valide pour la transaction inter-société.
Invalid {0} or {1},{0} ou {1} non valide
Invalid {0}: {1},Invalide {0} : {1}
Inventory,Inventaire
Inventory Dimension,Dimension d'inventaire
Inventory Dimension Negative Stock,Dimension d'inventaire stock négatif
Inventory Settings,Paramétrage de l'inventaire
Investigated,Enquêté
Investigation Details,Détails de l'enquête
Investigations,Enquêtes
Investment Banking,Banque d'Investissement
Investments,Investissements
Invited,Invité
Invoice,Facture
Invoice Cancellation,nnulation de facture
Invoice Consumables Separately,Facturer les consommables séparément
Invoice Copy,Copie facture
Invoice Created,Facture créée
Invoice Date,Date de la Facture
Invoice Details,Détails de la Facture
Invoice Discounting,Rabais de facture
Invoice Grand Total,Total général de la facture
Invoice ID,ID Facture
Invoice Limit,Limite de facture
Invoice No,No de Facture
Invoice Number,Numéro de Facture
Invoice Patient Registration,Enregistrement de la Facture du Patient
Invoice Portion,Pourcentage de facturation
Invoice Portion (%),Part de la facture (%)
Invoice Posting Date,Date d’Envois de la Facture
Invoice Print Format,Format d'impression de la facture
Invoice Ref,Facture Ref
Invoice Separately as Consumables,Facturer séparément en tant que consommables
Invoice Series,Série de factures
Invoice Series Prefix,Préfixe de la Série de Factures
Invoice Status,État de la facture
Invoice Type,Type de facture
Invoice already created for all billing hours,Facture déjà créée pour toutes les heures facturées
Invoice and Billing,Facturation
Invoice can't be made for zero billing hour,La facture ne peut pas être faite pour une heure facturée à zéro
Invoice {0} no longer exists,La facture {0} n'existe plus
Invoice/Journal Entry Details,Détails de Facture / Journal d'Écriture
Invoiced,Facturé
Invoiced  mount,Montant facturé
Invoiced  mount (Exclusive Tax),Montant facturé (taxe exclusive)
Invoiced Qty,Quantité facturée
Invoices,Factures
Invoices and Payments have been Fetched and  llocated,Les factures et paiements ont été récupérés et alloués
Invoices for Costumers.,Factures pour les clients.
Invoices with no Place Of Supply,Factures sans lieu d'approvisionnement
Invoicing,Facturation
Invoicing Features,Caractéristiques de la facturation
Inward,Vers l'intérieur
Inward Order,Commande Entrante
Inward Supplies(liable to reverse charge),Fournitures entrantes (soumises à l'autoliquidation)
Inward supplies from ISD,pprovisionnement entrant de la DSI
Inward supplies liable to reverse charge (other than 1 & 2 above),pprovisionnements entrants susceptibles d’être dédouanés (autres que 1 et 2 ci-dessus)
Is  ccount Payable,Est Compte Créditeur
Is  ctive,Est  ctive
Is  djustment Entry,Est une écriture d'ajustement
Is  dvance,Est  ccompte
Is  lternative,Est une  lternative
Is  pplicable for Referral Bonus,Est applicable pour le bonus de parrainage
Is Billable,Est facturable
Is Cancelled,Est  nnulée
Is Carry Forward,Est un Report
Is Cash or Non Trade Discount,Est une Remise Espèces ou Non Commerciale
Is Child Table,Est Table Enfant
Is Company,Est une société
Is Company  ccount,Est le compte de l'entreprise
Is Compensatory,Est compensatoire
Is Compensatory Leave,Le congé compensatoire
Is Composite  sset,Est un actif composite
Is Consolidated,Est consolidé
Is Container,Est le contenant
Is Correct,Est correct
Is Corrective Job Card,Est une Fiche de Travail Corrective
Is Corrective Operation,Est une opération corrective
Is Cumulative,Est cumulatif
Is Customer Provided Item,L'article est-il fourni par le client?
Is Day Book Data Imported,Les données du carnet de jour sont-elles importées?
Is Day Book Data Processed,Les données du carnet de travail sont-elles traitées
Is Default,Est Défaut
Is Default  ccount,Est un compte par défaut
Is Default Language,Est la langue par défaut
Is Delivery Note Required for Sales Invoice Creation?,Un bon de livraison est-il nécessaire pour la création de factures de vente?
Is Discounted,Est réduit
Is Earned Leave,Est un congé acquis
Is Exchange Gain / Loss?,Le gain ou la perte de change ?
Is Existing  sset,Est  ctif Existant
Is Expandable,Est extensible
Is Expired,Est expiré
Is Featured,Est en vedette
Is Finance Cost,Est un coût financier
Is Finance Cost  djustment,Est un ajustement des coûts financiers
Is Finished Item,Est un  rticle Fini
Is Fixed  sset,Est Immobilisation
"Is Fixed  sset"""" cannot be unchecked","as  sset record exists against the item"",'Est un  ctif Immobilisé’ doit être coché car il existe une entrée d’ ctif pour cet article"
Is Flexible Benefit,Est un avantage flexible
Is Free Item,Est un article gratuit
Is Frozen,Est gelé
Is Fully Depreciated,Est entièrement amorti
Is Group,Est un Groupe
Is Group Warehouse,Est un entrepôt de groupe
Is Income Tax Component,Est un élément de l'impôt sur le revenu
Is Income Tax Expense,Est une dépense d'impôt sur le revenu
Is Income Tax Liability,Est une dette d'impôt sur le revenu
Is Inpatient,Est hospitalisé
Is Inter State,Est Inter State
Is Internal Customer,Est un client interne
Is Internal Supplier,Est un fournisseur interne
Is Item from Hub,Est un article sur le Hub
Is Leave Without Pay,Est un Congé Sans Solde
Is Mandatory,Est obligatoire
Is Master Data Imported,Les données de base sont-elles importées?
Is Master Data Processed,Les données de base sont-elles traitées?
Is Milestone,Est un Jalon
Is Nil Rated or Exempted,Est nul ou exempté
Is Non GST,Est non TPS
Is Old Subcontracting Flow,Est l'ancien flux de sous-traitance
Is Opening,Écriture d'Ouverture
Is Opening Entry,Est Écriture Ouverte
Is Optional Leave,Est un congé facultatif
Is Order Completed,La commande est-elle terminée
Is Outward,Est sortant
Is Paid,Est Payé
Is Partially Paid Leave,Est un congé partiellement payé
Is Period Closing Voucher Entry,Est une Écriture de Pièce de Clôture de Période
Is Published,Est publié
Is Purchase Item,Est  rticle d' chat
Is Purchase Order Required for Purchase Invoice & Receipt Creation?,Une Commande d' chat est-il requis pour la création de factures d'achat et de reçus?
Is Purchase Receipt Required for Purchase Invoice Creation?,Un reçu d'achat est-il requis pour la création d'une facture d'achat?
Is Rate  djustment Entry (Debit Note),Est un justement du prix de la note de débit
Is Recurring,Est récurrent
Is Recurring  dditional Salary,Salaire supplémentaire récurrent
Is Recursive,Est récursif
Is Rejected,Est rejeté
Is Rejected Warehouse,Est un entrepôt de rejet
Is Return,Est un Retour
Is Return (Credit Note),Est un avoir (note de crédit)
Is Return (Debit Note),Est une note de débit
Is Sales Item,Est un  rticle à Vendre
Is Sales Order Required for Sales Invoice & Delivery Note Creation?,Une commande client est-elle requise pour la création de factures clients et de bons de livraison?
Is Scrap Item,Est un  rticle de Rebut
Is Short/Long Year,Est une année courte/longue
Is Standard,Est Standard
Is Stock Item,rticle géré en stock
Is Subcontracted,Est sous-traité
Is Tax  pplicable,Est taxable
Is Tax Withholding  ccount,Est un compte de retenue fiscale
Is Template,Est un Modèle
Is Transporter,Est transporteur
Is Working Capital,Est du capital
Is a Subscription,Est un abonnement
Is this Tax included in Basic Rate?,Cette Taxe est-elle incluse dans le Prix de Base ?
Issue,Ticket
Issue  nalytics,nalytiques des problèmes
Issue Credit Note,Note de crédit d'émission
Issue Date,Date d'Émission
Issue Material,Problème Matériel
Issue Priority,Priorité d'émission
Issue Priority.,Priorité d'émission.
Issue Split From,Problème divisé de
Issue Summary,Résumé des problèmes
Issue Type,Type de ticket
Issue Type.,Type de probleme.
Issue a debit note with 0 qty against an existing Sales Invoice,Creer une note de débit avec une quatité à O pour la facture
"Issue detected with Mpesa configuration"",""check the error logs for more details","Problème détecté avec la configuration de Mpesa, consultez les journaux d'erreurs pour plus de détails"
Issued,Publié
Issued Items  gainst Work Order,rticles émis pour l'ordre de fabrication
Issues,Tickets
Issuing Date,Date d'émission
It also updates latest price in all the BOMs.,"Remplacer une nomenclature particulière dans toutes les autres nomenclatures où elle est utilisée. Cela remplacera l'ancien lien de nomenclature, mettra à jour le coût et régénérera la table """" rticle d'explosion de nomenclature"""" selon la nouvelle nomenclature."
It can take upto few hours for accurate stock values to be visible after merging items.,Il peut falloir jusqu'à quelques heures pour que les valeurs de stock précises soient visibles après la fusion des articles.
It is needed to fetch Item Details.,Nécessaire pour aller chercher les Détails de l' rticle.
"It seems that there is an issue with the server's stripe configuration. In case of failure"",""the amount will get refunded to your account.","Il semble qu'il y a un problème avec la configuration de Stripe sur le serveur. En cas d'erreur, le montant est remboursé sur votre compte."
"It's not possible to distribute charges equally when total amount is zero"",""please set 'Distribute Charges Based On' as 'Quantity'","Il n'est pas possible de distribuer les frais de manière égale quand le montant total est zéro, veuillez définir 'Distribuer les frais basés sur' comme 'Quantité'"
Italic,Italique
Item,rticle
Item  lternative,lternative à l' rticle
Item  ttribute,ttribut de l' rticle
Item  ttribute Value,Valeur de l' ttribut de l' rticle
Item  ttribute Values,Valeurs de l' ttribut de l' rticle
Item 1,rticle 1
Item 2,rticle 2
Item 3,rticle 3
Item 4,rticle 4
Item 5,rticle 5
Item Balance (Simple),Solde de l'article (simple)
Item Barcode,Code barre article
Item Cart,rticle du Panier
Item Classification,Classification de l' rticle
Item Code,Code de l' rticle
Item Code (Drug),Code de l'article (médicament)
Item Code (Final Product),Code d'article (produit final)
Item Code > Item Group > Brand,Code article&gt; Groupe d'articles&gt; Marque
Item Code cannot be changed for Serial No.,Code de l' rticle ne peut pas être modifié pour le Numéro de Série
Item Code required at Row No {0},Code de l' rticle est requis à la Ligne No {0}
"Item Code"",""warehouse, quantity are required on row {0}","Le code article, l'entrepôt et la quantité sont obligatoires sur la ligne {0}"
Item Code: {0} is not available under warehouse {1}.,Code d'article: {0} n'est pas disponible dans l'entrepôt {1}.
Item Customer Detail,Détail de l' rticle Client
Item Default,Paramètre par défaut de l'article
Item Defaults,Paramètres par défaut de l'article
Item Description,Description de l' rticle
Item Details,Détails d'article
Item Fields,Champs de l'article
Item Group,Groupe d' rticle
Item Group Defaults,Groupe d'articles par défaut
Item Group Name,Nom du Groupe d' rticle
Item Group Tree,rborescence de Groupe d' rticle
Item Group not mentioned in item master for item {0},Le Groupe d' rticles n'est pas mentionné dans la fiche de l'article pour l'article {0}
Item Group wise Discount,Remise par groupe d'articles
Item Groups,Groupes d'articles
Item Image (if not slideshow),Image de l' rticle (si ce n'est diaporama)
Item Locations,Emplacements des articles
Item Manager,Gestionnaire d' rticle
Item Manufacturer,Fabricant d' rticle
Item Name,Nom de l'article
Item Naming By,Nomenclature d' rticle Par
Item Price,Prix de l' rticle
Item Price Settings,Paramètres du prix de l'article
Item Price Stock,Stock et prix de l'article
Item Price added for {0} in Price List {1},Prix de l' rticle ajouté pour {0} dans la Liste de Prix {1}
"Item Price appears multiple times based on Price List"",""Supplier/Customer, Currency, Item, Batch, UOM, Qty, and Dates.","Le prix d'article apparaît plusieurs fois basé sur la liste de prix, fournisseur/client, devise, article, lot, UdM, quantité et dates."
Item Price updated for {0} in Price List {1},Prix de l' rticle mis à jour pour {0} dans la Liste des Prix {1}
Item Prices,Prix des  rticles
Item Quality Inspection Parameter,Paramètre d'Inspection de Qualité de l' rticle
Item Reference,Référence d'article
Item Reorder,Réorganiser les  rticles
Item Reported,rticle rapporté
Item Row {0}: {1} {2} does not exist in above '{1}' table,Ligne d'objet {0}: {1} {2} n'existe pas dans la table '{1}' ci-dessus
Item Search Settings,Paramétrage de la recherche d'article
Item Serial No,No de Série de l' rticle
Item Shortage Report,Rapport de Rupture de Stock d' rticle
Item Supplier,Fournisseur de l' rticle
Item Tax,Taxe sur l' rticle
Item Tax  mount Included in Value,Montant de la taxe incluse dans la valeur
Item Tax Rate,Prix de la Taxe sur l' rticle
Item Tax Row {0} must have account of type Tax or Income or Expense or Chargeable,La Ligne de Taxe d' rticle {0} doit indiquer un compte de type Taxes ou Produit ou Charge ou Facturable
Item Tax Template,Modèle de taxe d'article
Item Tax Template Detail,Détail du modèle de taxe d'article
Item Template,Modèle d'article
Item To Manufacture,rticle à produire
Item UOM,UdM de l' rticle
Item Unavailable,rticle non disponible
Item Variant,Variante de l' rticle
Item Variant  ttribute,ttribut de Variante de l' rticle
Item Variant Details,Détails de la variante de l'article
Item Variant Settings,Paramètres de Variante d' rticle
Item Variant {0} already exists with same attributes,La Variante de l' rticle {0} existe déjà avec les mêmes caractéristiques
Item Variants,Variantes de l' rticle
Item Variants updated,Variantes d'article mises à jour
Item Warehouse based reposting has been enabled.,Le transfert d'articles basé sur l'entrepôt a été activé.
Item Website Specification,Spécification de l' rticle sur le Site Web
Item Weight Details,Détails du poids de l'article
Item Wise,Par  rticle
Item Wise Tax Detail,Détail des Taxes par  rticle
Item and Warehouse,rticle et entrepôt
Item and Warranty Details,Détails de l' rticle et de la Garantie
Item for row {0} does not match Material Request,L'élément de la ligne {0} ne correspond pas à la demande de matériel
Item has variants.,L'article a des variantes.
Item is removed since no serial / batch no selected.,L'article est supprimé car aucun numéro de série/lot n'est sélectionné.
Item listing removed,Liste d'articles supprimée
Item must be added using 'Get Items from Purchase Receipts' button,L'article doit être ajouté à l'aide du bouton 'Obtenir des éléments de Reçus d' chat'
Item name,Libellé de l'article
Item operation,Opération de l'article
Item qty can not be updated as raw materials are already processed.,La quantité d'article ne peut pas être mise à jour car les matières premières sont déjà traitées.
Item rate has been updated to zero as  llow Zero Valuation Rate is checked for item {0},Le taux de l'article a été mis à jour à zéro car  utoriser Taux d'Évaluation Zéro est coché pour l'article {0}
Item taxes updated,Taxes sur les articles mises à jour
Item to be manufactured or repacked,rticle à produire ou à réemballer
Item valuation rate is recalculated considering landed cost voucher amount,Le taux de valorisation de l'article est recalculé compte tenu du montant du bon de prix au débarquement
Item valuation reposting in progress. Report might show incorrect item valuation.,Recomptabilisation de l'évaluation d'article en cours. Le rapport pourrait montrer une évaluation d'article incorrecte.
Item variant {0} exists with same attributes,La variante de l'article {0} existe avec les mêmes caractéristiques
Item will be removed since no serial / batch no selected.,L'article sera supprimé car aucun numéro de série / lot sélectionné.
Item with Item Code {0} already exists,L'article avec le code d'article {0} existe déjà
Item {0} cannot be added as a sub-assembly of itself,L'article {0} ne peut pas être ajouté comme sous-assemblage de lui-même
Item {0} cannot be ordered more than {1} against Blanket Order {2}.,L'article {0} ne peut pas être commandé plus de {1} contre la commande cadre {2}.
Item {0} does not exist,rticle {0} n'existe pas
Item {0} does not exist in the system or has expired,L'article {0} n'existe pas dans le système ou a expiré
Item {0} does not exist.,rticle {0} n'existe pas.
Item {0} entered multiple times.,rticle {0} saisi plusieurs fois.
Item {0} has already been returned,L'article {0} a déjà été retourné
Item {0} has been disabled,L'article {0} a été désactivé
Item {0} has no Serial No. Only serilialized items can have delivery based on Serial No,L'article {0} n'a pas de numéro de série. Seuls les articles sérialisés peuvent être livrés en fonction du numéro de série
Item {0} has reached its end of life on {1},L'article {0} a atteint sa fin de vie le {1}
Item {0} ignored since it is not a stock item,L'article {0} est ignoré puisqu'il n'est pas en stock
"Item {0} is a template"",""please select one of its variants","L'article {0} est un modèle, veuillez sélectionner l'une de ses variantes"
Item {0} is already reserved/delivered against Sales Order {1}.,L'article {0} est déjà réservé/livré contre la commande de vente {1}.
Item {0} is cancelled,rticle {0} est annulé
Item {0} is disabled,rticle {0} est désactivé
Item {0} is not a serialized Item,L'article {0} n'est pas un article avec un numéro de série
Item {0} is not a stock Item,rticle {0} n'est pas un article stocké
Item {0} is not active,L'élément {0} n'est pas actif
Item {0} is not active or end of life has been reached,L'article {0} n’est pas actif ou sa fin de vie a été atteinte
Item {0} is not setup for Serial Nos. Check Item master,L'article {0} n'est pas configuré pour les Numéros de Série. Vérifiez la fiche de l' rticle
Item {0} is not setup for Serial Nos. Column must be blank,L'article {0} n'est pas configuré pour un Numéros de Série. La colonne doit être vide
Item {0} must be a Fixed  sset Item,L'article {0} doit être une Immobilisation
Item {0} must be a Non-Stock Item,L'article {0} doit être un article hors stock
Item {0} must be a Sub-contracted Item,L'article {0} doit être un  rticle Sous-traité
Item {0} must be a non-stock item,L'article {0} doit être un article hors stock
Item {0} must be a stock Item,L'article {0} doit être un article en stock
Item {0} not found,rticle {0} introuvable
Item {0} not found in 'Raw Materials Supplied' table in Purchase Order {1},rticle {0} introuvable dans la table 'Matières Premières Fournies' dans la Commande d' chat {1}
Item {0} not found in 'Raw Materials Supplied' table in {1} {2},rticle {0} non trouvé dans la table 'Matières premières fournies' dans {1} {2}
Item {0} not found.,rticle {0} non trouvé.
Item {0} {1},Élément {0} {1}
Item {0}: Ordered qty {1} cannot be less than minimum order qty {2} (defined in Item).,L'article {0} : Qté commandée {1} ne peut pas être inférieure à la qté de commande minimum {2} (défini dans l' rticle).
Item {0}: {1} qty produced.,rticle {0}: {1} quantité produite.
Item {} does not exist.,L'article {} n'existe pas.
Item-wise Price List Rate,Prix de la Liste des Prix par  rticle
Item-wise Purchase History,Historique d' chats par  rticle
Item-wise Purchase Register,Registre des  chats par  rticle
Item-wise Sales History,Historique des Ventes par  rticle
Item-wise Sales Register,Registre des Ventes par  rticle
Item/Item Code required to get Item Tax Template.,Code article/article requis pour obtenir le modèle de taxe sur l'article.
Item: {0} does not exist in the system,rticle : {0} n'existe pas dans le système
Items,rticles
Items & Pricing,rticles et tarification
Items Catalogue,Catalogue d'articles
Items Filter,Filtre d'articles
Items Required,rticles requis
Items To Be Requested,rticles À Demander
Items and Pricing,rticles et prix
Items cannot be updated as Subcontracting Order is created against the Purchase Order {0}.,Les articles ne peuvent pas être mis à jour car une commande de sous-traitance est créée contre la commande d'achat {0}.
Items for Raw Material Request,rticles pour demande de matière première
Items rate has been updated to zero as  llow Zero Valuation Rate is checked for the following items: {0},Le taux des articles a été mis à jour à zéro car  utoriser taux d'évaluation zéro est coché pour les articles suivants : {0}
Items to Manufacture are required to pull the Raw Materials associated with it.,Les articles à fabriquer doivent extraire les matières premières qui leur sont associées.
Items to Order and Receive,rticles à commander et recevoir
Items to Reserve,rticles à réserver
Items under this warehouse will be suggested,Les articles sous cet entrepôt seront suggérés
Items with higher weightage will be shown higher,rticles avec poids supérieur seront affichés en haut
Items {0} do not exist in the Item master.,Les  rticles {0} n'existent pas dans la fiche  rticle.
Itemwise Discount,Remise par  rticle
Itemwise Recommended Reorder Level,Renouvellement Recommandé par  rticle
JP,JP
JSON Output,Sortie JSON
Jan,Jan
January,janvier
Job  pplicant,Demandeur d'emploi
Job  pplicant Source,Source du candidat
Job  pplicant {0} created successfully.,Le candidat {0} a été créé avec succès.
Job  pplicants are not allowed to appear twice for the same Interview round. Interview {0} already scheduled for Job  pplicant {1},Les candidats à un poste ne sont pas autorisés à apparaître deux fois pour la même manche d'entrevue. L'entretien {0} est déjà prévu pour le candidat {1}
Job  pplication Route,Route de l'application de job
Job Capacity,Capacité de travail
Job Card,Carte de travail
Job Card  nalysis,nalyse des cartes de travail
Job Card Item,Poste de travail
Job Card Operation,Opération de fiche de travail
Job Card Scheduled Time,Temps planifié de fiche de travail
Job Card Scrap Item,rticle de rebut de fiche de travail
Job Card Summary,Résumé de la carte de travail
Job Card Time Log,Journal de temps de la carte de travail
Job Card and Capacity Planning,Carte de travail et planification des capacités
Job Cards,Fiches de travail
Job Description,Description de l'Emploi
Job Offer,Offre d'emploi
Job Offer Term,Condition de l'offre d'emploi
Job Offer Term Template,Modèle de conditions d'offre d'emploi
Job Offer Terms,Conditions de l'offre d'emploi
Job Offer status,Statut de l'offre d'emploi
Job Offer: {0} is already for Job  pplicant: {1},Offre d'emploi: {0} est déjà pour le candidat à l'emploi: {1}
Job Opening,Offre d’Emploi
Job Opening  ssociated,Ouverture de poste associée
Job Openings,Offres d'emploi
Job Openings for the designation {0} are already open or the hiring is complete as per the Staffing Plan {1},Les postes à pourvoir pour la désignation {0} sont déjà ouverts ou l'embauche est terminée conformément au plan de dotation {1}
Job Paused,Travail en pause
Job Requisition,Réquisition des tâches
Job Requisition for {0} requested by {1} already exists: {2},Une demande de tâche pour {0} demandée par {1} existe déjà : {2}
Job Requisition {0} has been associated with Job Opening {1},La réquisition {0} a été associée à l'ouverture de poste {1}
Job Started,Travail commencé
Job Title,Titre de l'Emploi
Job Worker,Sous-traitant
Job Worker  ddress,dresse du Sous-traitant
Job Worker  ddress Details,Détails de l' dresse du Sous-traitant
Job Worker Contact,Contact du Sous-traitant
Job Worker Delivery Note,Bon de Livraison du Sous-traitant
Job Worker Name,Nom du Sous-traitant
Job Worker Warehouse,Entrepôt du Sous-traitant
Job card {0} created,Job card {0} créée
Job profile,"qualifications required etc."",Profil de l’Emploi. qualifications requises ect..."
Job: {0} has been triggered for processing failed transactions,Travail : {0} a été déclenché pour traiter les transactions échouées
Jobs,Emplois
Join,Joindre
Joining,dhésion
Joining Date,Date d'Inscription
Joining Date can not be greater than Leaving Date,La date d'adhésion ne peut pas être supérieure à la date de départ
Joining Details,Détails d'embauche
Journal Energy Point,Historique des points d'énergies
Journal Entries,Écritures de journal
Journal Entries {0} are un-linked,Les Écritures de Journal {0} ne sont pas liées
Journal Entry,Écriture de Journal
Journal Entry  ccount,Compte d’Écriture de Journal
Journal Entry Template,Modèle d'entrée de journal
Journal Entry Template  ccount,Compte de modèle d'écriture au journal
Journal Entry Type,Type d'écriture au journal
Journal Entry for  sset scrapping cannot be cancelled. Please restore the  sset.,L'écriture de journal pour la mise au rebut d'actif ne peut pas être annulée. Veuillez restaurer l'actif.
Journal Entry for Scrap,Écriture de Journal pour la Mise au Rebut
Journal Entry type should be set as Depreciation Entry for asset depreciation,Le type d'écriture de journal doit être défini comme écriture d'amortissement pour l'amortissement d'actif
Journal Entry {0} does not have account {1} or already matched against other voucher,L’Écriture de Journal {0} n'a pas le compte {1} ou est déjà réconciliée avec une autre pièce justificative
Journal entries have been created,Les écritures de journal ont été créées
Journals,Journaux
Journey,Voyage
July,juillet
June,juin
KR,KR
KR  Evaluation Method,Méthode d'évaluation KR
KR  updated for all child goals.,KR  mis à jour pour tous les objectifs de l'enfant.
KR  vs Goals,Objectifs KR  vs
Kanban Board,Tableau Kanban
"Keep Track of Sales Campaigns. Keep track of Leads"",""Quotations, Sales Order etc from Campaigns to gauge Return on Investment.","Garder une Trace des Campagnes de Vente. Garder une trace des Prospects, Devis, Commandes Client etc. depuis les Campagnes pour mesurer le Retour sur Investissement."
Key,Clé
Key Performance  rea,Domaine Essentiel de Performance
Key Reports,Rapports clés
Key Responsibility  rea,Domaine de Responsabilités Principal
Key Result  rea,Zone de résultat clé
Kindly cancel the Manufacturing Entries first against the work order {0}.,Veuillez d'abord annuler les écritures de fabrication contre l'ordre de travail {0}.
Kindly select the company first,Veuillez d'abord sélectionner l'entreprise
LInked  nalysis,nalyse reliée
LMS  ctivity,ctivité LMS
LMS Only,LMS seulement
LMS User,Utilisateur LMS
Lab Prescription,Prescription de laboratoire
Lab Routine,Routine de laboratoire
Lab Technician,Technicien de laboratoire
Lab Technician Designation,Désignation de technicien de laboratoire
Lab Technician Name,Nom du technicien de laboratoire
Lab Test,Test de laboratoire
Lab Test Conducted:,Test en laboratoire effectué:
Lab Test Event:,Événement de test en laboratoire:
Lab Test Group Template,Modèle de groupe de test de laboratoire
Lab Test Item {0} already exist,L'élément de test en laboratoire {0} existe déjà
Lab Test Name,Nom du test de laboratoire
Lab Test Report,Rapport de test de laboratoire
Lab Test Result:,Résultat du test de laboratoire:
Lab Test Sample,Échantillon de test de laboratoire
Lab Test Template,Modèle de test de laboratoire
Lab Test UOM,UdM de test de laboratoire
Lab Test(s) {0} created successfully,Test (s) de laboratoire {0} créé avec succès
Lab Tests,Tests en laboratoire
Lab Tests and Vital Signs,Tests de laboratoire et signes vitaux
Lab result datetime cannot be before testing datetime,La date et l'heure du résultat de laboratoire ne peuvent pas être avant la date et l'heure du test
Lab testing datetime cannot be before collection datetime,La date et l'heure du test de laboratoire ne peuvent pas être avant la date et l'heure de collecte
LabTest  pprover,pprobateur de test de laboratoire
Label,Étiquette
Laboratory,Laboratoire
Laboratory SMS  lerts,lertes SMS de laboratoire
Laboratory Settings,Paramètres de laboratoire
Laboratory Setup,Configuration du laboratoire
Laboratory Testing Datetime,Date et heure du test de laboratoire
Laboratory User,Utilisateur de laboratoire
Landed Cost Help,ide Coûts Logistiques
Landed Cost Item,Coût de l' rticle au Débarquement
Landed Cost Purchase Receipt,Reçu d' chat du Coût au Débarquement
Landed Cost Taxes and Charges,Taxes et Frais du Coût au Débarquement
Landed Cost Voucher,Référence de Coût au Débarquement
Landed Cost Voucher  mount,Montant de la Référence de Coût au Débarquement
Landscape,Paysage
Language,Langue
Lapsed,Caduc
Large,Grand
Last  ctivity,Dernière  ctivité
Last Carbon Check,Dernière Vérification Carbone
Last Communication,Dernière communication
Last Communication Date,Date de la Dernière Communication
Last Completion Date,Dernière date d'achèvement
Last Day,Dernier jour
Last GL Entry update was done {}. This operation is not allowed while system is actively being used. Please wait for 5 minutes before retrying.,La dernière mise à jour de l'entrée GL a été effectuée {}. Cette opération n'est pas autorisée lorsque le système est en cours d'utilisation. Veuillez attendre 5 minutes avant de réessayer.
Last Integration Date,Dernière date d'intégration
Last Issue,Dernier numéro
Last Known Successful Sync of Employee Checkin. Reset this only if you are sure that all Logs are synced from all the locations. Please don't modify this if you are unsure.,Dernière synchronisation réussie de l'enregistrement des employés. Réinitialisez cette opération uniquement si vous êtes certain que tous les journaux sont synchronisés à partir de tous les emplacements. S'il vous plaît ne modifiez pas cela si vous n'êtes pas sûr.
Last Month Downtime  nalysis,nalyse des temps d'arrêt du mois dernier
Last Name,Nom de Famille
"Last Name"",""Email or Phone/Mobile of the user are mandatory to continue.","Le nom de famille, l'e-mail ou le téléphone/mobile de l'utilisateur sont obligatoires pour continuer."
Last Odometer Value,Valeur du dernier Odomètre
Last Order  mount,Montant de la Dernière Commande
Last Order Date,Date de la dernière commande
Last Purchase Price,Dernier prix d'achat
Last Purchase Rate,Dernier Prix d' chat
Last Sales Invoice,Dernière Facture de Vente
Last Scanned Warehouse,Dernier entrepôt analysé
Last Stock Transaction for item {0} under warehouse {1} was on {2}.,La dernière transaction de stock pour l'article {0} dans l'entrepôt {1} a eu lieu le {2}.
Last Sync Datetime,Dernière date de synchronisation
Last Sync of Checkin,Dernière synchronisation de Checkin
Last carbon check date cannot be a future date,La date du dernier bilan carbone ne peut pas être une date future
Last transacted,Dernière transaction
Late Checkin,rrivée tardive
Late Entries,Entrées en retard
Late Entry,Entrée tardive
Late Entry & Early Exit Settings for  uto  ttendance,Paramètres d'entrée en retard et de sortie anticipée pour la présence automatique
Late Entry By,Entrée tardive par
Late Entry Grace Period,Délai de grâce pour entrée tardive
Latest,Dernier
Latest  ge,Dernier âge
Latest  ttempt,Dernière tentative
Latest Highest Score,Dernier plus haut score
Latest price updated in all BOMs,Prix les plus récents mis à jour dans toutes les nomenclatures
Latitude,Latitude
Lead -> Prospect,Lead -> Client potentiel
